y,ds
68,2023-04-09
69,2023-04-09
68,2023-04-09
67,2023-04-09
68,2023-04-09
67,2023-04-09
66,2023-04-09
67,2023-04-09
67,2023-04-09
67,2023-04-09
66,2023-04-09
66,2023-04-09
66,2023-04-09
66,2023-04-09
65,2023-04-09
65,2023-04-09
64,2023-04-09
65,2023-04-09
65,2023-04-09
64,2023-04-09
65,2023-04-09
64,2023-04-09
63,2023-04-09
64,2023-04-09
63,2023-04-09
63,2023-04-09
64,2023-04-09
63,2023-04-09
63,2023-04-09
62,2023-04-09
62,2023-04-09
61,2023-04-09
61,2023-04-09
61,2023-04-09
61,2023-04-09
60,2023-04-09
60,2023-04-09
60,2023-04-09
59,2023-04-09
59,2023-04-09
58,2023-04-09
58,2023-04-09
57,2023-04-09
57,2023-04-09
56,2023-04-09
56,2023-04-09
56,2023-04-09
55,2023-04-09
55,2023-04-09
55,2023-04-09
55,2023-04-09
55,2023-04-09
55,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
53,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
51,2023-04-09
52,2023-04-09
52,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
51,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
52,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
53,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
54,2023-04-09
55,2023-04-09
55,2023-04-09
55,2023-04-09
55,2023-04-09
55,2023-04-09
55,2023-04-09
55,2023-04-09
56,2023-04-09
56,2023-04-09
56,2023-04-09
56,2023-04-09
56,2023-04-09
57,2023-04-09
57,2023-04-09
57,2023-04-09
57,2023-04-09
58,2023-04-09
58,2023-04-09
58,2023-04-09
58,2023-04-09
59,2023-04-09
59,2023-04-09
59,2023-04-09
59,2023-04-09
60,2023-04-09
60,2023-04-09
60,2023-04-09
61,2023-04-09
61,2023-04-09
61,2023-04-09
62,2023-04-09
62,2023-04-09
62,2023-04-09
63,2023-04-09
63,2023-04-09
63,2023-04-09
64,2023-04-08
64,2023-04-08
64,2023-04-08
64,2023-04-08
65,2023-04-08
65,2023-04-08
65,2023-04-08
65,2023-04-08
65,2023-04-08
