y,ds
3,2023-04-09
3,2023-04-09
4,2023-04-09
4,2023-04-09
4,2023-04-08
3,2023-04-08
4,2023-04-08
4,2023-04-08
5,2023-04-08
4,2023-04-08
3,2023-04-08
4,2023-04-08
4,2023-04-08
4,2023-04-08
3,2023-04-08
4,2023-04-08
5,2023-04-08
5,2023-04-08
4,2023-04-08
3,2023-04-08
5,2023-04-08
4,2023-04-08
6,2023-04-08
5,2023-04-08
5,2023-04-08
5,2023-04-08
6,2023-04-08
6,2023-04-08
4,2023-04-08
6,2023-04-08
6,2023-04-08
5,2023-04-08
5,2023-04-08
5,2023-04-08
5,2023-04-08
5,2023-04-08
5,2023-04-08
6,2023-04-08
6,2023-04-08
4,2023-04-08
4,2023-04-08
5,2023-04-08
5,2023-04-08
6,2023-04-08
5,2023-04-08
4,2023-04-08
4,2023-04-08
6,2023-04-08
7,2023-04-08
5,2023-04-08
6,2023-04-08
5,2023-04-08
5,2023-04-08
5,2023-04-08
6,2023-04-08
5,2023-04-08
5,2023-04-08
5,2023-04-08
6,2023-04-08
6,2023-04-08
7,2023-04-08
7,2023-04-08
7,2023-04-08
6,2023-04-08
5,2023-04-08
5,2023-04-08
6,2023-04-08
6,2023-04-08
5,2023-04-08
6,2023-04-08
4,2023-04-08
4,2023-04-08
5,2023-04-08
4,2023-04-08
6,2023-04-08
7,2023-04-08
5,2023-04-08
6,2023-04-08
5,2023-04-08
6,2023-04-08
6,2023-04-08
6,2023-04-08
5,2023-04-08
5,2023-04-08
5,2023-04-08
4,2023-04-08
5,2023-04-08
5,2023-04-08
6,2023-04-08
6,2023-04-08
5,2023-04-08
5,2023-04-08
3,2023-04-08
5,2023-04-08
4,2023-04-08
5,2023-04-08
4,2023-04-08
5,2023-04-08
5,2023-04-08
4,2023-04-08
5,2023-04-08
3,2023-04-08
5,2023-04-08
3,2023-04-08
3,2023-04-08
3,2023-04-08
4,2023-04-08
3,2023-04-08
4,2023-04-08
4,2023-04-08
4,2023-04-08
4,2023-04-08
4,2023-04-08
5,2023-04-08
4,2023-04-08
3,2023-04-08
3,2023-04-08
4,2023-04-08
3,2023-04-08
4,2023-04-08
5,2023-04-08
3,2023-04-08
3,2023-04-08
3,2023-04-08
4,2023-04-08
2,2023-04-08
3,2023-04-08
3,2023-04-08
4,2023-04-08
2,2023-04-08
2,2023-04-08
2,2023-04-08
2,2023-04-08
2,2023-04-08
1,2023-04-08
1,2023-04-08
2,2023-04-08
2,2023-04-08
1,2023-04-08
1,2023-04-08
1,2023-04-08
1,2023-04-08
2,2023-04-08
1,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
1,2023-04-08
1,2023-04-08
1,2023-04-08
2,2023-04-08
2,2023-04-08
1,2023-04-08
1,2023-04-08
2,2023-04-08
2,2023-04-08
1,2023-04-08
1,2023-04-08
1,2023-04-08
2,2023-04-08
2,2023-04-08
2,2023-04-08
3,2023-04-08
3,2023-04-08
2,2023-04-08
3,2023-04-08
3,2023-04-08
2,2023-04-08
2,2023-04-08
2,2023-04-08
1,2023-04-08
1,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
0,2023-04-08
1,2023-04-08
0,2023-04-08
0,2023-04-08
1,2023-04-08
1,2023-04-08
2,2023-04-08
2,2023-04-08
2,2023-04-08
2,2023-04-08
1,2023-04-08
1,2023-04-08
1,2023-04-08
0,2023-04-08
3,2023-04-08
3,2023-04-08
5,2023-04-08
4,2023-04-08
4,2023-04-08
4,2023-04-08
2,2023-04-08
3,2023-04-08
3,2023-04-08
2,2023-04-08
2,2023-04-08
1,2023-04-08
0,2023-04-08
1,2023-04-08
1,2023-04-08
0,2023-04-08
1,2023-04-08
0,2023-04-08
1,2023-04-08
1,2023-04-08
3,2023-04-08
1,2023-04-08
2,2023-04-08
4,2023-04-08
2,2023-04-08
1,2023-04-08
0,2023-04-08
1,2023-04-08
0,2023-04-08
0,2023-04-08
3,2023-04-08
4,2023-04-08
3,2023-04-08
4,2023-04-08
4,2023-04-08
4,2023-04-08
4,2023-04-08
3,2023-04-08
4,2023-04-08
3,2023-04-08
4,2023-04-08
4,2023-04-08
6,2023-04-08
5,2023-04-08
4,2023-04-08
4,2023-04-08
3,2023-04-08
5,2023-04-08
5,2023-04-08
5,2023-04-08
4,2023-04-08
5,2023-04-08
3,2023-04-08
5,2023-04-08
5,2023-04-08
4,2023-04-08
5,2023-04-08
5,2023-04-08
3,2023-04-08
3,2023-04-08
3,2023-04-08
4,2023-04-08
4,2023-04-08
2,2023-04-08
3,2023-04-08
4,2023-04-08
3,2023-04-08
4,2023-04-08
3,2023-04-08
3,2023-04-08
4,2023-04-08
4,2023-04-08
4,2023-04-08
3,2023-04-08
4,2023-04-08
3,2023-04-08
4,2023-04-08
4,2023-04-08
3,2023-04-08
3,2023-04-08
4,2023-04-08
3,2023-04-08
2,2023-04-08
4,2023-04-08
3,2023-04-08
3,2023-04-08
5,2023-04-08
5,2023-04-08
4,2023-04-08
4,2023-04-08
4,2023-04-08
4,2023-04-08
5,2023-04-08
5,2023-04-08
5,2023-04-08
6,2023-04-08
5,2023-04-08
4,2023-04-08
4,2023-04-08
3,2023-04-07
4,2023-04-07
4,2023-04-07
4,2023-04-07
5,2023-04-07
6,2023-04-07
5,2023-04-07
6,2023-04-07
4,2023-04-07
5,2023-04-07
7,2023-04-07
4,2023-04-07
4,2023-04-07
6,2023-04-07
5,2023-04-07
5,2023-04-07
6,2023-04-07
6,2023-04-07
5,2023-04-07
7,2023-04-07
5,2023-04-07
6,2023-04-07
6,2023-04-07
5,2023-04-07
5,2023-04-07
4,2023-04-07
4,2023-04-07
3,2023-04-07
3,2023-04-07
4,2023-04-07
3,2023-04-07
5,2023-04-07
4,2023-04-07
3,2023-04-07
4,2023-04-07
3,2023-04-07
5,2023-04-07
6,2023-04-07
5,2023-04-07
6,2023-04-07
5,2023-04-07
4,2023-04-07
5,2023-04-07
4,2023-04-07
3,2023-04-07
4,2023-04-07
4,2023-04-07
5,2023-04-07
4,2023-04-07
5,2023-04-07
5,2023-04-07
4,2023-04-07
3,2023-04-07
4,2023-04-07
5,2023-04-07
5,2023-04-07
4,2023-04-07
3,2023-04-07
4,2023-04-07
